filename,relative_path,split,label,frame_id,sequence_id_provisional,camera_group,camera_group_size,camera_group_confidence,grouping_method,camera_group_v1,camera_group_v2_manual_merge,camera_group_v2_merge_reason,enabled_for_cv
00035.jpg,训练集/00035.jpg,train,有漂浮物,35,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00036.jpg,训练集/00036.jpg,train,有漂浮物,36,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00037.jpg,训练集/00037.jpg,train,有漂浮物,37,file_block_0001,camera_group_v2_0032,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0032,no,,yes
00038.jpg,训练集/00038.jpg,train,有漂浮物,38,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00039.jpg,训练集/00039.jpg,train,有漂浮物,39,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00040.jpg,训练集/00040.jpg,train,有漂浮物,40,file_block_0001,camera_group_v2_0033,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0033,no,,yes
00041.jpg,训练集/00041.jpg,train,有漂浮物,41,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00042.jpg,训练集/00042.jpg,train,有漂浮物,42,file_block_0001,camera_group_v2_0034,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0034,no,,yes
00043.jpg,训练集/00043.jpg,train,有漂浮物,43,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00044.jpg,训练集/00044.jpg,train,有漂浮物,44,file_block_0001,camera_group_v2_0035,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0035,no,,yes
00045.jpg,训练集/00045.jpg,train,有漂浮物,45,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00046.jpg,训练集/00046.jpg,train,有漂浮物,46,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00047.jpg,训练集/00047.jpg,train,有漂浮物,47,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00048.jpg,训练集/00048.jpg,train,有漂浮物,48,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00049.jpg,训练集/00049.jpg,train,有漂浮物,49,file_block_0001,camera_group_v2_0036,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0036,no,,yes
00050.jpg,训练集/00050.jpg,train,有漂浮物,50,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00051.jpg,训练集/00051.jpg,train,有漂浮物,51,file_block_0001,camera_group_v2_0037,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0037,no,,yes
00052.jpg,训练集/00052.jpg,train,有漂浮物,52,file_block_0001,camera_group_v2_0038,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0038,no,,yes
00053.jpg,训练集/00053.jpg,train,有漂浮物,53,file_block_0001,camera_group_v2_0039,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0039,no,,yes
00054.jpg,训练集/00054.jpg,train,有漂浮物,54,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00055.jpg,训练集/00055.jpg,train,有漂浮物,55,file_block_0001,camera_group_v2_0040,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0040,no,,yes
00056.jpg,训练集/00056.jpg,train,有漂浮物,56,file_block_0001,camera_group_v2_0041,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0041,no,,yes
00057.jpg,训练集/00057.jpg,train,有漂浮物,57,file_block_0001,camera_group_v2_0042,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0042,no,,yes
00058.jpg,训练集/00058.jpg,train,有漂浮物,58,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00059.jpg,训练集/00059.jpg,train,有漂浮物,59,file_block_0001,camera_group_v2_0043,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0043,no,,yes
00060.jpg,训练集/00060.jpg,train,有漂浮物,60,file_block_0001,camera_group_v2_0044,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0044,no,,yes
00061.jpg,训练集/00061.jpg,train,有漂浮物,61,file_block_0001,camera_group_v2_0045,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0045,no,,yes
00062.jpg,初赛测试集/00062.jpg,test,,62,file_block_0001,camera_group_v2_0046,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0046,no,,yes
00063.jpg,训练集/00063.jpg,train,有漂浮物,63,file_block_0001,camera_group_v2_0047,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0047,no,,yes
00064.jpg,训练集/00064.jpg,train,正常,64,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00065.jpg,训练集/00065.jpg,train,有漂浮物,65,file_block_0001,camera_group_v2_0048,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0048,no,,yes
00066.jpg,训练集/00066.jpg,train,有漂浮物,66,file_block_0001,camera_group_v2_0049,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0049,no,,yes
00067.jpg,训练集/00067.jpg,train,有漂浮物,67,file_block_0001,camera_group_v2_0050,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0050,no,,yes
00068.jpg,训练集/00068.jpg,train,有漂浮物,68,file_block_0001,camera_group_v2_0051,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0051,no,,yes
00069.jpg,训练集/00069.jpg,train,有漂浮物,69,file_block_0001,camera_group_v2_0052,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0052,no,,yes
00070.jpg,训练集/00070.jpg,train,有漂浮物,70,file_block_0001,camera_group_v2_0053,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0053,no,,yes
00071.jpg,训练集/00071.jpg,train,有漂浮物,71,file_block_0001,camera_group_v2_0054,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0054,no,,yes
00072.jpg,训练集/00072.jpg,train,有漂浮物,72,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00073.jpg,训练集/00073.jpg,train,有漂浮物,73,file_block_0001,camera_group_v2_0055,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0055,no,,yes
00074.jpg,训练集/00074.jpg,train,有漂浮物,74,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00075.jpg,训练集/00075.jpg,train,有漂浮物,75,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00076.jpg,训练集/00076.jpg,train,有漂浮物,76,file_block_0001,camera_group_v2_0056,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0056,no,,yes
00077.jpg,训练集/00077.jpg,train,有漂浮物,77,file_block_0001,camera_group_v2_0057,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0057,no,,yes
00078.jpg,训练集/00078.jpg,train,有漂浮物,78,file_block_0001,camera_group_v2_0058,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0058,no,,yes
00079.jpg,训练集/00079.jpg,train,有漂浮物,79,file_block_0001,camera_group_v2_0059,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0059,no,,yes
00080.jpg,训练集/00080.jpg,train,有漂浮物,80,file_block_0001,camera_group_v2_0060,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0060,no,,yes
00081.jpg,训练集/00081.jpg,train,有漂浮物,81,file_block_0001,camera_group_v2_0061,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0061,no,,yes
00082.jpg,训练集/00082.jpg,train,有漂浮物,82,file_block_0001,camera_group_v2_0062,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0062,no,,yes
00083.jpg,训练集/00083.jpg,train,有漂浮物,83,file_block_0001,camera_group_v2_0063,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0063,no,,yes
00084.jpg,训练集/00084.jpg,train,有漂浮物,84,file_block_0001,camera_group_v2_0064,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0064,no,,yes
00085.jpg,训练集/00085.jpg,train,有漂浮物,85,file_block_0001,camera_group_v2_0065,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0065,no,,yes
00086.jpg,训练集/00086.jpg,train,有漂浮物,86,file_block_0001,camera_group_v2_0066,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0066,no,,yes
00087.jpg,训练集/00087.jpg,train,有漂浮物,87,file_block_0001,camera_group_v2_0067,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0067,no,,yes
00088.jpg,训练集/00088.jpg,train,有漂浮物,88,file_block_0001,camera_group_v2_0068,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0068,no,,yes
00089.jpg,训练集/00089.jpg,train,有漂浮物,89,file_block_0001,camera_group_v2_0069,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0069,no,,yes
00090.jpg,训练集/00090.jpg,train,有漂浮物,90,file_block_0001,camera_group_v2_0070,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0070,no,,yes
00091.jpg,训练集/00091.jpg,train,有漂浮物,91,file_block_0001,camera_group_v2_0071,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0071,no,,yes
00092.jpg,训练集/00092.jpg,train,有漂浮物,92,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00093.jpg,训练集/00093.jpg,train,有漂浮物,93,file_block_0001,camera_group_v2_0072,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0072,no,,yes
00094.jpg,训练集/00094.jpg,train,有漂浮物,94,file_block_0001,camera_group_v2_0073,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0073,no,,yes
00095.jpg,训练集/00095.jpg,train,有漂浮物,95,file_block_0001,camera_group_v2_0074,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0074,no,,yes
00096.jpg,训练集/00096.jpg,train,正常,96,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00097.jpg,训练集/00097.jpg,train,有漂浮物,97,file_block_0001,camera_group_v2_0075,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0075,no,,yes
00098.jpg,训练集/00098.jpg,train,有漂浮物,98,file_block_0001,camera_group_v2_0005,24,medium,top75_gray32_cosine_with_frame_gap,camera_group_0005,no,,yes
00099.jpg,训练集/00099.jpg,train,有漂浮物,99,file_block_0001,camera_group_v2_0076,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0076,no,,yes
00100.jpg,训练集/00100.jpg,train,正常,100,file_block_0001,camera_group_v2_0077,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0077,no,,yes
00101.jpg,训练集/00101.jpg,train,有漂浮物,101,file_block_0001,camera_group_v2_0078,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0078,no,,yes
00102.jpg,训练集/00102.jpg,train,有漂浮物,102,file_block_0001,camera_group_v2_0079,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0079,no,,yes
00103.jpg,训练集/00103.jpg,train,有漂浮物,103,file_block_0001,camera_group_v2_0080,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0080,no,,yes
00104.jpg,训练集/00104.jpg,train,有漂浮物,104,file_block_0001,camera_group_v2_0081,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0081,no,,yes
00105.jpg,训练集/00105.jpg,train,有漂浮物,105,file_block_0001,camera_group_v2_0082,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0082,no,,yes
00106.jpg,训练集/00106.jpg,train,有漂浮物,106,file_block_0001,camera_group_v2_0083,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0083,no,,yes
00107.jpg,训练集/00107.jpg,train,有漂浮物,107,file_block_0001,camera_group_v2_0084,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0084,no,,yes
00108.jpg,训练集/00108.jpg,train,有漂浮物,108,file_block_0001,camera_group_v2_0085,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0085,no,,yes
00109.jpg,训练集/00109.jpg,train,有漂浮物,109,file_block_0001,camera_group_v2_0086,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0086,no,,yes
00110.jpg,训练集/00110.jpg,train,有漂浮物,110,file_block_0001,camera_group_v2_0087,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0087,no,,yes
00111.jpg,训练集/00111.jpg,train,有漂浮物,111,file_block_0001,camera_group_v2_0088,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0088,no,,yes
00112.jpg,训练集/00112.jpg,train,有漂浮物,112,file_block_0001,camera_group_v2_0089,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0089,no,,yes
00113.jpg,训练集/00113.jpg,train,有漂浮物,113,file_block_0001,camera_group_v2_0072,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0072,no,,yes
00114.jpg,训练集/00114.jpg,train,正常,114,file_block_0001,camera_group_v2_0090,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0090,no,,yes
00115.jpg,训练集/00115.jpg,train,有漂浮物,115,file_block_0001,camera_group_v2_0091,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0091,no,,yes
00116.jpg,训练集/00116.jpg,train,有漂浮物,116,file_block_0001,camera_group_v2_0092,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0092,no,,yes
00117.jpg,训练集/00117.jpg,train,有漂浮物,117,file_block_0001,camera_group_v2_0093,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0093,no,,yes
00118.jpg,训练集/00118.jpg,train,有漂浮物,118,file_block_0001,camera_group_v2_0094,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0094,no,,yes
00119.jpg,训练集/00119.jpg,train,有漂浮物,119,file_block_0001,camera_group_v2_0095,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0095,no,,yes
00120.jpg,训练集/00120.jpg,train,有漂浮物,120,file_block_0001,camera_group_v2_0096,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0096,no,,yes
00121.jpg,训练集/00121.jpg,train,有漂浮物,121,file_block_0001,camera_group_v2_0097,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0097,no,,yes
00122.jpg,训练集/00122.jpg,train,有漂浮物,122,file_block_0001,camera_group_v2_0098,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0098,no,,yes
00123.jpg,训练集/00123.jpg,train,有漂浮物,123,file_block_0001,camera_group_v2_0099,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0099,no,,yes
00124.jpg,训练集/00124.jpg,train,有漂浮物,124,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00125.jpg,训练集/00125.jpg,train,有漂浮物,125,file_block_0001,camera_group_v2_0101,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0101,no,,yes
00126.jpg,训练集/00126.jpg,train,有漂浮物,126,file_block_0001,camera_group_v2_0102,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0102,no,,yes
00127.jpg,训练集/00127.jpg,train,有漂浮物,127,file_block_0001,camera_group_v2_0103,3,medium,top75_gray32_cosine_with_frame_gap,camera_group_0103,no,,yes
00129.jpg,训练集/00129.jpg,train,有漂浮物,129,file_block_0001,camera_group_v2_0104,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0104,no,,yes
00130.jpg,训练集/00130.jpg,train,有漂浮物,130,file_block_0001,camera_group_v2_0105,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0105,no,,yes
00131.jpg,训练集/00131.jpg,train,有漂浮物,131,file_block_0001,camera_group_v2_0106,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0106,no,,yes
00132.jpg,训练集/00132.jpg,train,有漂浮物,132,file_block_0001,camera_group_v2_0107,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0107,no,,yes
00133.jpg,训练集/00133.jpg,train,有漂浮物,133,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00134.jpg,训练集/00134.jpg,train,有漂浮物,134,file_block_0001,camera_group_v2_0108,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0108,no,,yes
00135.jpg,训练集/00135.jpg,train,有漂浮物,135,file_block_0001,camera_group_v2_0109,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0109,no,,yes
00136.jpg,训练集/00136.jpg,train,有漂浮物,136,file_block_0001,camera_group_v2_0110,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0110,no,,yes
00137.jpg,训练集/00137.jpg,train,有漂浮物,137,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00138.jpg,训练集/00138.jpg,train,有漂浮物,138,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00139.jpg,训练集/00139.jpg,train,有漂浮物,139,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00140.jpg,训练集/00140.jpg,train,有漂浮物,140,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00141.jpg,训练集/00141.jpg,train,有漂浮物,141,file_block_0001,camera_group_v2_0111,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0111,no,,yes
00142.jpg,训练集/00142.jpg,train,有漂浮物,142,file_block_0001,camera_group_v2_0112,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0112,no,,yes
00143.jpg,训练集/00143.jpg,train,有漂浮物,143,file_block_0001,camera_group_v2_0113,2,low,top75_gray32_cosine_with_frame_gap,camera_group_0113,yes,几乎像素级重复/同一画面,yes
00144.jpg,训练集/00144.jpg,train,有漂浮物,144,file_block_0001,camera_group_v2_0100,8,medium,top75_gray32_cosine_with_frame_gap,camera_group_0100,no,,yes
00145.jpg,训练集/00145.jpg,train,有漂浮物,145,file_block_0001,camera_group_v2_0114,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0114,no,,yes
00146.jpg,训练集/00146.jpg,train,有漂浮物,146,file_block_0001,camera_group_v2_0115,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0115,no,,yes
00147.jpg,训练集/00147.jpg,train,有漂浮物,147,file_block_0001,camera_group_v2_0116,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0116,no,,yes
00148.jpg,训练集/00148.jpg,train,有漂浮物,148,file_block_0001,camera_group_v2_0117,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0117,no,,yes
00149.jpg,训练集/00149.jpg,train,有漂浮物,149,file_block_0001,camera_group_v2_0103,3,medium,top75_gray32_cosine_with_frame_gap,camera_group_0103,no,,yes
00150.jpg,训练集/00150.jpg,train,有漂浮物,150,file_block_0001,camera_group_v2_0118,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0118,no,,yes
00151.jpg,训练集/00151.jpg,train,有漂浮物,151,file_block_0001,camera_group_v2_0119,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0119,no,,yes
00152.jpg,训练集/00152.jpg,train,有漂浮物,152,file_block_0001,camera_group_v2_0120,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0120,no,,yes
00153.jpg,训练集/00153.jpg,train,有漂浮物,153,file_block_0001,camera_group_v2_0121,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0121,no,,yes
00154.jpg,训练集/00154.jpg,train,有漂浮物,154,file_block_0001,camera_group_v2_0122,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0122,no,,yes
00156.jpg,训练集/00156.jpg,train,有漂浮物,156,file_block_0001,camera_group_v2_0123,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0123,no,,yes
00157.jpg,训练集/00157.jpg,train,有漂浮物,157,file_block_0001,camera_group_v2_0124,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0124,no,,yes
00158.jpg,训练集/00158.jpg,train,有漂浮物,158,file_block_0001,camera_group_v2_0124,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0124,no,,yes
00159.jpg,训练集/00159.jpg,train,有漂浮物,159,file_block_0001,camera_group_v2_0125,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0125,no,,yes
00160.jpg,训练集/00160.jpg,train,有漂浮物,160,file_block_0001,camera_group_v2_0126,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0126,no,,yes
00161.jpg,训练集/00161.jpg,train,有漂浮物,161,file_block_0001,camera_group_v2_0127,2,medium,top75_gray32_cosine_with_frame_gap,camera_group_0127,no,,yes
00163.jpg,训练集/00163.jpg,train,有漂浮物,163,file_block_0001,camera_group_v2_0128,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0128,no,,yes
00164.jpg,训练集/00164.jpg,train,有漂浮物,164,file_block_0001,camera_group_v2_0129,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0129,no,,yes
00165.jpg,训练集/00165.jpg,train,有漂浮物,165,file_block_0001,camera_group_v2_0130,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0130,no,,yes
00166.jpg,训练集/00166.jpg,train,有漂浮物,166,file_block_0001,camera_group_v2_0131,1,low,top75_gray32_cosine_with_frame_gap,camera_group_0131,no,,yes
