left_filename,right_filename,left_path,right_path,left_split,right_split,left_label,right_label,hamming_distance
01482.jpg,01483.jpg,初赛测试集/01482.jpg,初赛测试集/01483.jpg,test,test,,,1
01483.jpg,01485.jpg,初赛测试集/01483.jpg,初赛测试集/01485.jpg,test,test,,,1
01485.jpg,01486.jpg,初赛测试集/01485.jpg,初赛测试集/01486.jpg,test,test,,,1
01487.jpg,01489.jpg,初赛测试集/01487.jpg,初赛测试集/01489.jpg,test,test,,,2
01489.jpg,01491.jpg,初赛测试集/01489.jpg,初赛测试集/01491.jpg,test,test,,,2
01490.jpg,01491.jpg,初赛测试集/01490.jpg,初赛测试集/01491.jpg,test,test,,,1
01492.jpg,01493.jpg,初赛测试集/01492.jpg,初赛测试集/01493.jpg,test,test,,,2
01497.jpg,01498.jpg,初赛测试集/01497.jpg,初赛测试集/01498.jpg,test,test,,,2
01502.jpg,01504.jpg,初赛测试集/01502.jpg,初赛测试集/01504.jpg,test,test,,,2
01507.jpg,01508.jpg,初赛测试集/01507.jpg,初赛测试集/01508.jpg,test,test,,,1
01507.jpg,01509.jpg,初赛测试集/01507.jpg,初赛测试集/01509.jpg,test,test,,,1
01508.jpg,01509.jpg,初赛测试集/01508.jpg,初赛测试集/01509.jpg,test,test,,,2
01508.jpg,01510.jpg,初赛测试集/01508.jpg,初赛测试集/01510.jpg,test,test,,,2
01509.jpg,01511.jpg,初赛测试集/01509.jpg,初赛测试集/01511.jpg,test,test,,,2
01510.jpg,01512.jpg,初赛测试集/01510.jpg,初赛测试集/01512.jpg,test,test,,,2
01511.jpg,01512.jpg,初赛测试集/01511.jpg,初赛测试集/01512.jpg,test,test,,,2
01511.jpg,01513.jpg,初赛测试集/01511.jpg,初赛测试集/01513.jpg,test,test,,,2
01512.jpg,01513.jpg,初赛测试集/01512.jpg,初赛测试集/01513.jpg,test,test,,,0
01512.jpg,01514.jpg,初赛测试集/01512.jpg,初赛测试集/01514.jpg,test,test,,,2
01513.jpg,01514.jpg,初赛测试集/01513.jpg,初赛测试集/01514.jpg,test,test,,,2
01522.jpg,01523.jpg,初赛测试集/01522.jpg,初赛测试集/01523.jpg,test,test,,,0
01522.jpg,01524.jpg,初赛测试集/01522.jpg,初赛测试集/01524.jpg,test,test,,,1
01523.jpg,01524.jpg,初赛测试集/01523.jpg,初赛测试集/01524.jpg,test,test,,,1
01523.jpg,01525.jpg,初赛测试集/01523.jpg,初赛测试集/01525.jpg,test,test,,,1
01524.jpg,01525.jpg,初赛测试集/01524.jpg,初赛测试集/01525.jpg,test,test,,,0
01524.jpg,01526.jpg,初赛测试集/01524.jpg,初赛测试集/01526.jpg,test,test,,,2
01525.jpg,01526.jpg,初赛测试集/01525.jpg,初赛测试集/01526.jpg,test,test,,,2
01525.jpg,01527.jpg,初赛测试集/01525.jpg,初赛测试集/01527.jpg,test,test,,,0
01526.jpg,01527.jpg,初赛测试集/01526.jpg,初赛测试集/01527.jpg,test,test,,,2
01526.jpg,01528.jpg,初赛测试集/01526.jpg,初赛测试集/01528.jpg,test,test,,,2
01527.jpg,01528.jpg,初赛测试集/01527.jpg,初赛测试集/01528.jpg,test,test,,,0
01529.jpg,01530.jpg,初赛测试集/01529.jpg,初赛测试集/01530.jpg,test,test,,,2
01529.jpg,01531.jpg,初赛测试集/01529.jpg,初赛测试集/01531.jpg,test,test,,,2
01530.jpg,01531.jpg,初赛测试集/01530.jpg,初赛测试集/01531.jpg,test,test,,,2
01539.jpg,01540.jpg,初赛测试集/01539.jpg,初赛测试集/01540.jpg,test,test,,,2
01540.jpg,01541.jpg,初赛测试集/01540.jpg,初赛测试集/01541.jpg,test,test,,,1
01608.jpg,01609.jpg,初赛测试集/01608.jpg,初赛测试集/01609.jpg,test,test,,,1
01633.jpg,01635.jpg,初赛测试集/01633.jpg,初赛测试集/01635.jpg,test,test,,,2
01635.jpg,01636.jpg,初赛测试集/01635.jpg,初赛测试集/01636.jpg,test,test,,,2
01635.jpg,01637.jpg,初赛测试集/01635.jpg,初赛测试集/01637.jpg,test,test,,,2
01645.jpg,01647.jpg,初赛测试集/01645.jpg,初赛测试集/01647.jpg,test,test,,,1
02151.jpg,02153.jpg,初赛测试集/02151.jpg,初赛测试集/02153.jpg,test,test,,,2
02164.jpg,02165.jpg,初赛测试集/02164.jpg,初赛测试集/02165.jpg,test,test,,,2
02242.jpg,02244.jpg,初赛测试集/02242.jpg,初赛测试集/02244.jpg,test,test,,,2
02253.jpg,02254.jpg,初赛测试集/02253.jpg,初赛测试集/02254.jpg,test,test,,,1
02253.jpg,02255.jpg,初赛测试集/02253.jpg,初赛测试集/02255.jpg,test,test,,,0
02254.jpg,02255.jpg,初赛测试集/02254.jpg,初赛测试集/02255.jpg,test,test,,,1
02258.jpg,02259.jpg,初赛测试集/02258.jpg,初赛测试集/02259.jpg,test,test,,,2
02260.jpg,02261.jpg,初赛测试集/02260.jpg,初赛测试集/02261.jpg,test,test,,,2
02261.jpg,02262.jpg,初赛测试集/02261.jpg,初赛测试集/02262.jpg,test,test,,,1
02261.jpg,02263.jpg,初赛测试集/02261.jpg,初赛测试集/02263.jpg,test,test,,,2
02262.jpg,02263.jpg,初赛测试集/02262.jpg,初赛测试集/02263.jpg,test,test,,,1
02262.jpg,02264.jpg,初赛测试集/02262.jpg,初赛测试集/02264.jpg,test,test,,,1
02263.jpg,02264.jpg,初赛测试集/02263.jpg,初赛测试集/02264.jpg,test,test,,,0
02315.jpg,02316.jpg,初赛测试集/02315.jpg,初赛测试集/02316.jpg,test,test,,,1
00446.jpg,00448.jpg,训练集/00446.jpg,训练集/00448.jpg,train,train,有漂浮物,有漂浮物,2
00447.jpg,00449.jpg,训练集/00447.jpg,训练集/00449.jpg,train,train,有漂浮物,有漂浮物,2
00448.jpg,00449.jpg,训练集/00448.jpg,训练集/00449.jpg,train,train,有漂浮物,有漂浮物,1
00448.jpg,00450.jpg,训练集/00448.jpg,训练集/00450.jpg,train,train,有漂浮物,有漂浮物,2
00449.jpg,00451.jpg,训练集/00449.jpg,训练集/00451.jpg,train,train,有漂浮物,有漂浮物,0
00451.jpg,00452.jpg,训练集/00451.jpg,训练集/00452.jpg,train,train,有漂浮物,有漂浮物,1
00453.jpg,00454.jpg,训练集/00453.jpg,训练集/00454.jpg,train,train,有漂浮物,有漂浮物,1
00457.jpg,00459.jpg,训练集/00457.jpg,训练集/00459.jpg,train,train,有漂浮物,有漂浮物,2
00458.jpg,00460.jpg,训练集/00458.jpg,训练集/00460.jpg,train,train,有漂浮物,有漂浮物,2
00460.jpg,00461.jpg,训练集/00460.jpg,训练集/00461.jpg,train,train,有漂浮物,有漂浮物,2
00461.jpg,00463.jpg,训练集/00461.jpg,训练集/00463.jpg,train,train,有漂浮物,有漂浮物,2
00462.jpg,00463.jpg,训练集/00462.jpg,训练集/00463.jpg,train,train,有漂浮物,有漂浮物,2
00463.jpg,00464.jpg,训练集/00463.jpg,训练集/00464.jpg,train,train,有漂浮物,有漂浮物,1
00465.jpg,00466.jpg,训练集/00465.jpg,训练集/00466.jpg,train,train,有漂浮物,有漂浮物,2
00465.jpg,00467.jpg,训练集/00465.jpg,训练集/00467.jpg,train,train,有漂浮物,有漂浮物,2
00466.jpg,00467.jpg,训练集/00466.jpg,训练集/00467.jpg,train,train,有漂浮物,有漂浮物,2
00467.jpg,00468.jpg,训练集/00467.jpg,训练集/00468.jpg,train,train,有漂浮物,有漂浮物,2
00472.jpg,00473.jpg,训练集/00472.jpg,训练集/00473.jpg,train,train,有漂浮物,有漂浮物,2
00480.jpg,00482.jpg,训练集/00480.jpg,训练集/00482.jpg,train,train,有漂浮物,有漂浮物,1
00485.jpg,00486.jpg,训练集/00485.jpg,训练集/00486.jpg,train,train,有漂浮物,有漂浮物,0
00485.jpg,00487.jpg,训练集/00485.jpg,训练集/00487.jpg,train,train,有漂浮物,有漂浮物,2
00486.jpg,00487.jpg,训练集/00486.jpg,训练集/00487.jpg,train,train,有漂浮物,有漂浮物,2
00492.jpg,00493.jpg,训练集/00492.jpg,训练集/00493.jpg,train,train,有漂浮物,有漂浮物,2
00531.jpg,00532.jpg,训练集/00531.jpg,训练集/00532.jpg,train,train,有漂浮物,有漂浮物,1
00531.jpg,00533.jpg,训练集/00531.jpg,训练集/00533.jpg,train,train,有漂浮物,有漂浮物,2
00532.jpg,00533.jpg,训练集/00532.jpg,训练集/00533.jpg,train,train,有漂浮物,有漂浮物,1
00532.jpg,00534.jpg,训练集/00532.jpg,训练集/00534.jpg,train,train,有漂浮物,有漂浮物,1
00533.jpg,00534.jpg,训练集/00533.jpg,训练集/00534.jpg,train,train,有漂浮物,有漂浮物,0
00539.jpg,00540.jpg,训练集/00539.jpg,训练集/00540.jpg,train,train,有漂浮物,有漂浮物,2
00540.jpg,00541.jpg,训练集/00540.jpg,训练集/00541.jpg,train,train,有漂浮物,有漂浮物,2
00542.jpg,00543.jpg,训练集/00542.jpg,训练集/00543.jpg,train,train,有漂浮物,有漂浮物,2
00543.jpg,00544.jpg,训练集/00543.jpg,训练集/00544.jpg,train,train,有漂浮物,有漂浮物,2
00559.jpg,00560.jpg,训练集/00559.jpg,训练集/00560.jpg,train,train,有漂浮物,有漂浮物,1
00567.jpg,00568.jpg,训练集/00567.jpg,训练集/00568.jpg,train,train,有漂浮物,有漂浮物,2
00635.jpg,00637.jpg,训练集/00635.jpg,训练集/00637.jpg,train,train,有漂浮物,有漂浮物,2
00640.jpg,00641.jpg,训练集/00640.jpg,训练集/00641.jpg,train,train,有漂浮物,有漂浮物,2
00640.jpg,00642.jpg,训练集/00640.jpg,训练集/00642.jpg,train,train,有漂浮物,有漂浮物,2
00672.jpg,00673.jpg,训练集/00672.jpg,训练集/00673.jpg,train,train,有漂浮物,有漂浮物,1
00672.jpg,00674.jpg,训练集/00672.jpg,训练集/00674.jpg,train,train,有漂浮物,有漂浮物,2
00677.jpg,00678.jpg,训练集/00677.jpg,训练集/00678.jpg,train,train,有漂浮物,有漂浮物,2
00680.jpg,00681.jpg,训练集/00680.jpg,训练集/00681.jpg,train,train,有漂浮物,有漂浮物,1
00700.jpg,00701.jpg,训练集/00700.jpg,训练集/00701.jpg,train,train,有漂浮物,有漂浮物,2
00753.jpg,00754.jpg,训练集/00753.jpg,训练集/00754.jpg,train,train,有漂浮物,有漂浮物,2
00824.jpg,00825.jpg,训练集/00824.jpg,训练集/00825.jpg,train,train,有漂浮物,有漂浮物,0
00829.jpg,00830.jpg,训练集/00829.jpg,训练集/00830.jpg,train,train,有漂浮物,有漂浮物,2
00829.jpg,00831.jpg,训练集/00829.jpg,训练集/00831.jpg,train,train,有漂浮物,有漂浮物,2
00832.jpg,00833.jpg,训练集/00832.jpg,训练集/00833.jpg,train,train,有漂浮物,有漂浮物,2
00851.jpg,00852.jpg,训练集/00851.jpg,训练集/00852.jpg,train,train,有漂浮物,有漂浮物,1
00872.jpg,00874.jpg,训练集/00872.jpg,训练集/00874.jpg,train,train,有漂浮物,有漂浮物,2
00877.jpg,00879.jpg,训练集/00877.jpg,训练集/00879.jpg,train,train,有漂浮物,有漂浮物,2
00889.jpg,00890.jpg,训练集/00889.jpg,训练集/00890.jpg,train,train,有漂浮物,有漂浮物,2
00892.jpg,00893.jpg,训练集/00892.jpg,训练集/00893.jpg,train,train,有漂浮物,有漂浮物,1
00892.jpg,00894.jpg,训练集/00892.jpg,训练集/00894.jpg,train,train,有漂浮物,有漂浮物,1
00893.jpg,00894.jpg,训练集/00893.jpg,训练集/00894.jpg,train,train,有漂浮物,有漂浮物,0
00893.jpg,00895.jpg,训练集/00893.jpg,训练集/00895.jpg,train,train,有漂浮物,有漂浮物,2
00894.jpg,00895.jpg,训练集/00894.jpg,训练集/00895.jpg,train,train,有漂浮物,有漂浮物,2
00907.jpg,00908.jpg,训练集/00907.jpg,训练集/00908.jpg,train,train,有漂浮物,有漂浮物,2
00925.jpg,00927.jpg,训练集/00925.jpg,训练集/00927.jpg,train,train,有漂浮物,有漂浮物,2
00927.jpg,00928.jpg,训练集/00927.jpg,训练集/00928.jpg,train,train,有漂浮物,有漂浮物,2
00927.jpg,00929.jpg,训练集/00927.jpg,训练集/00929.jpg,train,train,有漂浮物,有漂浮物,2
00928.jpg,00929.jpg,训练集/00928.jpg,训练集/00929.jpg,train,train,有漂浮物,有漂浮物,2
00935.jpg,00936.jpg,训练集/00935.jpg,训练集/00936.jpg,train,train,有漂浮物,有漂浮物,1
00944.jpg,00945.jpg,训练集/00944.jpg,训练集/00945.jpg,train,train,有漂浮物,有漂浮物,2
00964.jpg,00965.jpg,训练集/00964.jpg,训练集/00965.jpg,train,train,有漂浮物,有漂浮物,2
01109.jpg,01110.jpg,训练集/01109.jpg,训练集/01110.jpg,train,train,有漂浮物,有漂浮物,2
01110.jpg,01112.jpg,训练集/01110.jpg,训练集/01112.jpg,train,train,有漂浮物,有漂浮物,1
01113.jpg,01114.jpg,训练集/01113.jpg,训练集/01114.jpg,train,train,有漂浮物,有漂浮物,1
01126.jpg,01127.jpg,训练集/01126.jpg,训练集/01127.jpg,train,train,有漂浮物,有漂浮物,2
01127.jpg,01129.jpg,训练集/01127.jpg,训练集/01129.jpg,train,train,有漂浮物,有漂浮物,1
01145.jpg,01146.jpg,训练集/01145.jpg,训练集/01146.jpg,train,train,有漂浮物,有漂浮物,1
01145.jpg,01147.jpg,训练集/01145.jpg,训练集/01147.jpg,train,train,有漂浮物,有漂浮物,0
01146.jpg,01147.jpg,训练集/01146.jpg,训练集/01147.jpg,train,train,有漂浮物,有漂浮物,1
01148.jpg,01149.jpg,训练集/01148.jpg,训练集/01149.jpg,train,train,有漂浮物,有漂浮物,2
01210.jpg,01211.jpg,训练集/01210.jpg,训练集/01211.jpg,train,train,有漂浮物,有漂浮物,2
01215.jpg,01216.jpg,训练集/01215.jpg,训练集/01216.jpg,train,train,有漂浮物,有漂浮物,2
01225.jpg,01227.jpg,训练集/01225.jpg,训练集/01227.jpg,train,train,有漂浮物,有漂浮物,2
01227.jpg,01228.jpg,训练集/01227.jpg,训练集/01228.jpg,train,train,有漂浮物,有漂浮物,2
01231.jpg,01233.jpg,训练集/01231.jpg,训练集/01233.jpg,train,train,有漂浮物,有漂浮物,2
02085.jpg,02086.jpg,训练集/02085.jpg,训练集/02086.jpg,train,train,乱占,乱占,2
02118.jpg,02119.jpg,训练集/02118.jpg,训练集/02119.jpg,train,train,乱占,乱占,2
